# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 5499  Weld ON: 5499  Weave: 5499  Patterns: Circle
# Phases: ACCEL: 746  CRUISE: 3910  DECEL: 841  STOP: 2

-62.734, 21.339, 19.394, 160.399, 58.263, -36.395, ACCEL, 404.92, -902.82, 1345.61, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.79, -0.47, Lin 0-1 t=0.054 +Circle
-62.658, 21.401, 19.455, 160.349, 58.292, -36.306, ACCEL, 405.64, -900.65, 1345.08, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.76, -1.40, Lin 0-1 t=0.055 +Circle
-62.567, 21.464, 19.556, 160.287, 58.293, -36.192, ACCEL, 406.35, -897.69, 1343.23, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.29, -1.80, Lin 0-1 t=0.056 +Circle
-62.480, 21.526, 19.658, 160.224, 58.269, -36.078, ACCEL, 407.06, -895.08, 1340.78, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.28, -1.51, Lin 0-1 t=0.057 +Circle
-62.414, 21.563, 19.760, 160.174, 58.245, -35.986, ACCEL, 407.78, -893.79, 1338.66, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.60, -0.64, Lin 0-1 t=0.058 +Circle
-62.383, 21.524, 19.769, 160.144, 58.220, -35.932, ACCEL, 408.49, -894.33, 1337.67, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.79, +0.47, Lin 0-1 t=0.059 +Circle
-62.376, 21.418, 19.679, 160.141, 58.206, -35.926, ACCEL, 409.20, -896.49, 1338.20, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.78, +1.40, Lin 0-1 t=0.061 +Circle
-62.384, 21.311, 19.546, 160.150, 58.219, -35.944, ACCEL, 409.92, -899.45, 1340.04, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.32, +1.80, Lin 0-1 t=0.062 +Circle
-62.390, 21.204, 19.413, 160.160, 58.258, -35.963, ACCEL, 410.63, -902.07, 1342.48, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.26, +1.51, Lin 0-1 t=0.063 +Circle
-62.374, 21.123, 19.281, 160.157, 58.297, -35.959, ACCEL, 411.34, -903.37, 1344.61, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.60, +0.65, Lin 0-1 t=0.064 +Circle
-62.324, 21.117, 19.240, 160.134, 58.336, -35.917, ACCEL, 412.06, -902.84, 1345.61, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.80, -0.46, Lin 0-1 t=0.065 +Circle
-62.249, 21.178, 19.300, 160.085, 58.366, -35.828, ACCEL, 412.77, -900.69, 1345.09, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.80, -1.39, Lin 0-1 t=0.066 +Circle
-62.158, 21.240, 19.402, 160.022, 58.367, -35.713, ACCEL, 413.48, -897.74, 1343.27, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.35, -1.80, Lin 0-1 t=0.067 +Circle
-62.071, 21.302, 19.504, 159.959, 58.343, -35.598, ACCEL, 414.20, -895.11, 1340.82, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.24, -1.52, Lin 0-1 t=0.068 +Circle
-62.004, 21.339, 19.607, 159.908, 58.319, -35.506, ACCEL, 414.91, -893.80, 1338.68, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.59, -0.66, Lin 0-1 t=0.069 +Circle
-61.973, 21.301, 19.618, 159.879, 58.295, -35.452, ACCEL, 415.62, -894.31, 1337.68, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.81, +0.45, Lin 0-1 t=0.070 +Circle
-61.966, 21.196, 19.528, 159.876, 58.280, -35.447, ACCEL, 416.34, -896.46, 1338.18, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.82, +1.39, Lin 0-1 t=0.071 +Circle
-61.975, 21.089, 19.394, 159.886, 58.294, -35.466, ACCEL, 417.05, -899.41, 1340.00, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.37, +1.80, Lin 0-1 t=0.072 +Circle
-61.981, 20.982, 19.260, 159.897, 58.332, -35.486, ACCEL, 417.76, -902.04, 1342.45, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.21, +1.52, Lin 0-1 t=0.073 +Circle
-61.967, 20.900, 19.127, 159.895, 58.371, -35.483, ACCEL, 418.48, -903.36, 1344.59, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.58, +0.66, Lin 0-1 t=0.074 +Circle
-61.843, 20.952, 19.142, 159.823, 58.440, -35.353, ACCEL, 419.90, -900.73, 1345.11, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.84, -1.38, Lin 0-1 t=0.076 +Circle
-61.752, 21.013, 19.245, 159.760, 58.441, -35.238, ACCEL, 420.62, -897.78, 1343.30, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.40, -1.80, Lin 0-1 t=0.077 +Circle
-61.665, 21.075, 19.348, 159.698, 58.418, -35.123, ACCEL, 421.33, -895.14, 1340.85, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.19, -1.52, Lin 0-1 t=0.078 +Circle
-61.598, 21.112, 19.451, 159.647, 58.394, -35.030, ACCEL, 422.04, -893.81, 1338.71, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.57, -0.67, Lin 0-1 t=0.079 +Circle
-61.566, 21.075, 19.463, 159.618, 58.370, -34.976, ACCEL, 422.75, -894.29, 1337.68, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.82, +0.44, Lin 0-1 t=0.080 +Circle
-61.559, 20.971, 19.375, 159.615, 58.355, -34.971, ACCEL, 423.47, -896.42, 1338.16, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.86, +1.38, Lin 0-1 t=0.081 +Circle
-61.569, 20.864, 19.240, 159.626, 58.368, -34.992, ACCEL, 424.18, -899.36, 1339.97, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.43, +1.80, Lin 0-1 t=0.082 +Circle
-61.576, 20.756, 19.105, 159.638, 58.407, -35.012, ACCEL, 424.89, -902.01, 1342.41, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.17, +1.53, Lin 0-1 t=0.083 +Circle
-61.562, 20.674, 18.970, 159.636, 58.446, -35.011, ACCEL, 425.61, -903.36, 1344.56, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.56, +0.68, Lin 0-1 t=0.084 +Circle
-61.440, 20.722, 18.982, 159.565, 58.515, -34.882, ACCEL, 427.04, -900.77, 1345.13, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.88, -1.37, Lin 0-1 t=0.086 +Circle
-61.350, 20.783, 19.086, 159.502, 58.517, -34.767, ACCEL, 427.75, -897.82, 1343.33, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.45, -1.79, Lin 0-1 t=0.087 +Circle
-61.262, 20.845, 19.189, 159.439, 58.494, -34.652, ACCEL, 428.46, -895.17, 1340.88, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.14, -1.53, Lin 0-1 t=0.088 +Circle
-61.195, 20.882, 19.293, 159.389, 58.470, -34.558, ACCEL, 429.17, -893.81, 1338.73, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.55, -0.69, Lin 0-1 t=0.089 +Circle
-61.163, 20.846, 19.306, 159.359, 58.446, -34.504, ACCEL, 429.89, -894.28, 1337.68, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.83, +0.42, Lin 0-1 t=0.090 +Circle
-61.156, 20.743, 19.219, 159.357, 58.431, -34.499, ACCEL, 430.60, -896.38, 1338.14, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.90, +1.37, Lin 0-1 t=0.091 +Circle
-61.166, 20.635, 19.083, 159.368, 58.443, -34.520, ACCEL, 431.31, -899.32, 1339.93, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.48, +1.79, Lin 0-1 t=0.092 +Circle
-61.174, 20.528, 18.947, 159.380, 58.482, -34.541, ACCEL, 432.03, -901.98, 1342.38, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.12, +1.54, Lin 0-1 t=0.093 +Circle
-61.161, 20.444, 18.811, 159.380, 58.521, -34.541, ACCEL, 432.74, -903.35, 1344.54, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.54, +0.69, Lin 0-1 t=0.094 +Circle
-61.040, 20.491, 18.819, 159.310, 58.590, -34.414, ACCEL, 434.17, -900.81, 1345.14, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.92, -1.36, Lin 0-1 t=0.096 +Circle
-60.951, 20.551, 18.924, 159.247, 58.593, -34.300, ACCEL, 434.88, -897.87, 1343.36, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.51, -1.79, Lin 0-1 t=0.097 +Circle
-60.862, 20.612, 19.028, 159.185, 58.570, -34.185, ACCEL, 435.59, -895.20, 1340.92, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.10, -1.54, Lin 0-1 t=0.098 +Circle
-60.795, 20.650, 19.132, 159.134, 58.546, -34.091, ACCEL, 436.31, -893.82, 1338.75, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.52, -0.70, Lin 0-1 t=0.099 +Circle
-60.763, 20.615, 19.147, 159.104, 58.522, -34.036, ACCEL, 437.02, -894.26, 1337.69, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.85, +0.40, Lin 0-1 t=0.101 +Circle
-60.756, 20.512, 19.060, 159.102, 58.507, -34.031, ACCEL, 437.73, -896.34, 1338.12, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.94, +1.36, Lin 0-1 t=0.102 +Circle
-60.766, 20.405, 18.923, 159.113, 58.519, -34.052, ACCEL, 438.45, -899.28, 1339.90, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.53, +1.79, Lin 0-1 t=0.103 +Circle
-60.775, 20.297, 18.786, 159.125, 58.557, -34.074, ACCEL, 439.16, -901.95, 1342.34, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.08, +1.55, Lin 0-1 t=0.104 +Circle
-60.763, 20.213, 18.649, 159.125, 58.596, -34.075, ACCEL, 439.87, -903.34, 1344.51, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.51, +0.71, Lin 0-1 t=0.105 +Circle
-60.643, 20.256, 18.654, 159.057, 58.666, -33.950, ACCEL, 441.30, -900.85, 1345.16, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.96, -1.35, Lin 0-1 t=0.107 +Circle
-60.554, 20.316, 18.759, 158.995, 58.669, -33.836, ACCEL, 442.01, -897.91, 1343.39, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.56, -1.79, Lin 0-1 t=0.108 +Circle
-60.465, 20.377, 18.864, 158.933, 58.647, -33.722, ACCEL, 442.73, -895.23, 1340.95, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.05, -1.55, Lin 0-1 t=0.109 +Circle
-60.397, 20.415, 18.969, 158.882, 58.623, -33.628, ACCEL, 443.44, -893.83, 1338.78, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.50, -0.72, Lin 0-1 t=0.110 +Circle
-60.366, 20.380, 18.985, 158.852, 58.599, -33.572, ACCEL, 444.15, -894.24, 1337.69, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.86, +0.39, Lin 0-1 t=0.111 +Circle
-60.359, 20.279, 18.899, 158.850, 58.583, -33.567, ACCEL, 444.87, -896.30, 1338.11, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.98, +1.35, Lin 0-1 t=0.112 +Circle
-60.369, 20.171, 18.761, 158.862, 58.596, -33.589, ACCEL, 445.58, -899.24, 1339.87, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -0.59, +1.79, Lin 0-1 t=0.113 +Circle
-60.379, 20.063, 18.622, 158.874, 58.633, -33.611, ACCEL, 446.29, -901.92, 1342.30, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +3.03, +1.55, Lin 0-1 t=0.114 +Circle
-60.369, 19.978, 18.483, 158.875, 58.673, -33.614, ACCEL, 447.01, -903.34, 1344.48, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +5.49, +0.72, Lin 0-1 t=0.115 +Circle
-60.250, 20.018, 18.486, 158.808, 58.743, -33.491, ACCEL, 448.43, -900.88, 1345.17, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +4.00, -1.34, Lin 0-1 t=0.117 +Circle
-60.161, 20.078, 18.591, 158.746, 58.746, -33.377, ACCEL, 449.15, -897.95, 1343.42, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, +0.61, -1.79, Lin 0-1 t=0.118 +Circle
-60.072, 20.138, 18.697, 158.685, 58.724, -33.263, ACCEL, 449.86, -895.26, 1340.99, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -3.01, -1.56, Lin 0-1 t=0.119 +Circle
-60.004, 20.176, 18.803, 158.634, 58.701, -33.168, ACCEL, 450.57, -893.84, 1338.80, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.48, -0.73, Lin 0-1 t=0.120 +Circle
-59.972, 20.143, 18.820, 158.604, 58.677, -33.112, ACCEL, 451.29, -894.22, 1337.69, -143.45, 12.86, 163.23, 1, 50.0, 30.0, Circle, -5.87, +0.37, Lin 0-1 t=0.121 +Circle
