# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 1586  Weld ON: 1586  Weave: 1586  Patterns: Sine
# Phases: ACCEL: 267  CRUISE: 1050  DECEL: 266  STOP: 3

-70.838, 7.588, 25.032, 176.203, 62.927, -48.371, CRUISE, 347.85, -1034.03, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.99, +0.00, Lin 0-1 t=0.602 +Sine
-70.744, 7.520, 24.973, 176.185, 62.925, -48.269, CRUISE, 349.82, -1034.44, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.58, +0.00, Lin 0-1 t=0.614 +Sine
-70.667, 7.391, 24.858, 176.170, 62.915, -48.186, CRUISE, 351.80, -1035.82, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.20, +0.00, Lin 0-1 t=0.625 +Sine
-70.599, 7.232, 24.718, 176.157, 62.902, -48.112, CRUISE, 353.77, -1037.64, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.62, +0.00, Lin 0-1 t=0.636 +Sine
-70.527, 7.087, 24.589, 176.143, 62.890, -48.035, CRUISE, 355.75, -1039.23, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.21, +0.00, Lin 0-1 t=0.648 +Sine
-70.442, 6.993, 24.505, 176.126, 62.886, -47.942, CRUISE, 357.73, -1040.00, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.98, +0.00, Lin 0-1 t=0.659 +Sine
-70.336, 6.968, 24.482, 176.107, 62.890, -47.829, CRUISE, 359.70, -1039.65, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.63, +0.00, Lin 0-1 t=0.670 +Sine
-70.213, 7.005, 24.515, 176.084, 62.902, -47.698, CRUISE, 361.68, -1038.32, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.30, +0.00, Lin 0-1 t=0.682 +Sine
-70.081, 7.073, 24.576, 176.060, 62.918, -47.557, CRUISE, 363.65, -1036.51, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.51, +0.00, Lin 0-1 t=0.693 +Sine
-69.951, 7.131, 24.628, 176.036, 62.933, -47.419, CRUISE, 365.63, -1034.89, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.13, +0.00, Lin 0-1 t=0.705 +Sine
-69.836, 7.139, 24.635, 176.014, 62.941, -47.296, CRUISE, 367.61, -1034.06, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.96, +0.00, Lin 0-1 t=0.716 +Sine
-69.740, 7.078, 24.580, 175.996, 62.941, -47.194, CRUISE, 369.58, -1034.34, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.68, +0.00, Lin 0-1 t=0.727 +Sine
-69.664, 6.953, 24.470, 175.982, 62.932, -47.111, CRUISE, 371.56, -1035.62, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.40, +0.00, Lin 0-1 t=0.739 +Sine
-69.598, 6.795, 24.328, 175.969, 62.920, -47.039, CRUISE, 373.53, -1037.42, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.40, +0.00, Lin 0-1 t=0.750 +Sine
-69.530, 6.645, 24.194, 175.956, 62.909, -46.966, CRUISE, 375.51, -1039.07, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.05, +0.00, Lin 0-1 t=0.761 +Sine
-69.449, 6.542, 24.101, 175.940, 62.904, -46.878, CRUISE, 377.49, -1039.96, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.94, +0.00, Lin 0-1 t=0.773 +Sine
-69.347, 6.506, 24.069, 175.922, 62.907, -46.768, CRUISE, 379.46, -1039.75, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.73, +0.00, Lin 0-1 t=0.784 +Sine
-69.226, 6.534, 24.094, 175.899, 62.918, -46.639, CRUISE, 381.44, -1038.52, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.50, +0.00, Lin 0-1 t=0.795 +Sine
-69.094, 6.598, 24.151, 175.875, 62.934, -46.499, CRUISE, 383.42, -1036.73, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.29, +0.00, Lin 0-1 t=0.807 +Sine
-68.963, 6.656, 24.203, 175.851, 62.949, -46.360, CRUISE, 385.39, -1035.05, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.97, +0.00, Lin 0-1 t=0.818 +Sine
-68.846, 6.669, 24.215, 175.830, 62.958, -46.235, CRUISE, 387.37, -1034.10, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.92, +0.00, Lin 0-1 t=0.830 +Sine
-68.750, 6.614, 24.166, 175.812, 62.959, -46.132, CRUISE, 389.34, -1034.24, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.78, +0.00, Lin 0-1 t=0.841 +Sine
-68.674, 6.495, 24.059, 175.798, 62.953, -46.050, DECEL, 391.32, -1035.42, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.60, +0.00, Lin 0-1 t=0.852 +Sine
-68.610, 6.338, 23.917, 175.785, 62.941, -45.980, DECEL, 393.30, -1037.20, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.18, +0.00, Lin 0-1 t=0.864 +Sine
-68.546, 6.184, 23.778, 175.773, 62.931, -45.910, DECEL, 395.27, -1038.90, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.88, +0.00, Lin 0-1 t=0.875 +Sine
-68.468, 6.072, 23.677, 175.758, 62.926, -45.827, DECEL, 397.25, -1039.91, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.89, +0.00, Lin 0-1 t=0.886 +Sine
-68.370, 6.026, 23.635, 175.740, 62.929, -45.722, DECEL, 399.22, -1039.84, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.82, +0.00, Lin 0-1 t=0.898 +Sine
-68.252, 6.045, 23.652, 175.718, 62.939, -45.595, DECEL, 401.20, -1038.71, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.69, +0.00, Lin 0-1 t=0.909 +Sine
-68.121, 6.103, 23.705, 175.695, 62.954, -45.456, DECEL, 403.18, -1036.96, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.06, +0.00, Lin 0-1 t=0.920 +Sine
-67.989, 6.161, 23.757, 175.671, 62.968, -45.316, DECEL, 405.15, -1035.22, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.80, +0.00, Lin 0-1 t=0.932 +Sine
-67.871, 6.178, 23.773, 175.649, 62.979, -45.190, DECEL, 407.13, -1034.16, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.86, +0.00, Lin 0-1 t=0.943 +Sine
-67.773, 6.130, 23.730, 175.631, 62.981, -45.085, DECEL, 409.11, -1034.17, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.85, +0.00, Lin 0-1 t=0.955 +Sine
-67.697, 6.017, 23.627, 175.617, 62.976, -45.003, DECEL, 411.08, -1035.24, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.78, +0.00, Lin 0-1 t=0.966 +Sine
-67.635, 5.861, 23.486, 175.605, 62.966, -44.936, DECEL, 413.06, -1036.97, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.05, +0.00, Lin 0-1 t=0.977 +Sine
-67.574, 5.703, 23.342, 175.593, 62.957, -44.869, DECEL, 415.03, -1038.72, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.70, +0.00, Lin 0-1 t=0.989 +Sine
-67.612, 5.561, 23.212, 175.600, 62.942, -44.909, ACCEL, 415.15, -1040.99, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.86, +0.00, Lin 1-2 t=0.010 +Sine
-67.569, 5.397, 23.062, 175.592, 62.931, -44.862, ACCEL, 416.87, -1042.97, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.14, +0.00, Lin 1-2 t=0.016 +Sine
-67.523, 5.230, 22.909, 175.583, 62.920, -44.812, ACCEL, 418.64, -1044.95, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.63, +0.00, Lin 1-2 t=0.021 +Sine
-67.506, 5.079, 22.770, 175.579, 62.910, -44.792, ACCEL, 419.80, -1046.93, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.79, +0.00, Lin 1-2 t=0.026 +Sine
-67.538, 4.954, 22.654, 175.585, 62.898, -44.826, ACCEL, 419.92, -1048.92, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.91, +0.00, Lin 1-2 t=0.031 +Sine
-67.623, 4.857, 22.564, 175.600, 62.884, -44.916, ACCEL, 418.94, -1050.90, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.93, +0.00, Lin 1-2 t=0.036 +Sine
-67.743, 4.778, 22.491, 175.621, 62.869, -45.043, ACCEL, 417.23, -1052.88, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.22, +0.00, Lin 1-2 t=0.042 +Sine
-67.868, 4.701, 22.420, 175.644, 62.855, -45.176, ACCEL, 415.45, -1054.87, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.56, +0.00, Lin 1-2 t=0.047 +Sine
-67.965, 4.610, 22.336, 175.661, 62.841, -45.279, ACCEL, 414.25, -1056.85, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.76, +0.00, Lin 1-2 t=0.052 +Sine
-68.013, 4.493, 22.227, 175.670, 62.830, -45.330, ACCEL, 414.08, -1058.83, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.93, +0.00, Lin 1-2 t=0.057 +Sine
-68.008, 4.350, 22.094, 175.669, 62.820, -45.324, ACCEL, 415.02, -1060.81, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.99, +0.00, Lin 1-2 t=0.062 +Sine
-67.967, 4.188, 21.942, 175.661, 62.812, -45.279, ACCEL, 416.71, -1062.80, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -0.30, +0.00, Lin 1-2 t=0.068 +Sine
-67.920, 4.023, 21.788, 175.652, 62.805, -45.228, ACCEL, 418.50, -1064.78, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +1.49, +0.00, Lin 1-2 t=0.073 +Sine
-67.898, 3.871, 21.645, 175.647, 62.798, -45.204, ACCEL, 419.74, -1066.76, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.73, +0.00, Lin 1-2 t=0.078 +Sine
-67.925, 3.744, 21.526, 175.652, 62.788, -45.232, ACCEL, 419.95, -1068.75, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.94, +0.00, Lin 1-2 t=0.083 +Sine
-68.004, 3.645, 21.432, 175.666, 62.777, -45.315, ACCEL, 419.06, -1070.73, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +2.05, +0.00, Lin 1-2 t=0.089 +Sine
-68.119, 3.564, 21.356, 175.687, 62.764, -45.439, ACCEL, 417.39, -1072.71, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, +0.38, +0.00, Lin 1-2 t=0.094 +Sine
-68.243, 3.487, 21.284, 175.710, 62.751, -45.570, ACCEL, 415.59, -1074.69, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -1.42, +0.00, Lin 1-2 t=0.099 +Sine
-68.341, 3.398, 21.199, 175.727, 62.739, -45.675, ACCEL, 414.31, -1076.68, 1012.58, -170.41, 3.63, 159.28, 1, 50.0, 30.0, Sine, -2.70, +0.00, Lin 1-2 t=0.104 +Sine
