# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 241  Weld ON: 0  Weave: 0
# Phases: ACCEL: 36  CRUISE: 167  DECEL: 36  STOP: 2

-53.109, 31.324, 54.019, -117.005, -42.382, 34.636, ACCEL, 412.02, -734.02, 981.67, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.085
-53.109, 31.497, 53.816, -116.637, -42.213, 34.139, ACCEL, 412.02, -734.02, 986.66, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.102
-53.109, 31.666, 53.612, -116.268, -42.047, 33.641, ACCEL, 412.02, -734.02, 991.65, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.119
-53.109, 31.831, 53.407, -115.897, -41.884, 33.143, ACCEL, 412.02, -734.02, 996.64, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.136
-53.109, 31.992, 53.200, -115.526, -41.724, 32.645, CRUISE, 412.02, -734.02, 1001.63, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.153
-53.109, 32.150, 52.991, -115.154, -41.567, 32.146, CRUISE, 412.02, -734.02, 1006.62, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.169
-53.109, 32.304, 52.781, -114.781, -41.414, 31.648, CRUISE, 412.02, -734.02, 1011.61, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.186
-53.109, 32.454, 52.569, -114.407, -41.263, 31.150, CRUISE, 412.02, -734.02, 1016.60, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.203
-53.109, 32.601, 52.356, -114.032, -41.115, 30.652, CRUISE, 412.02, -734.02, 1021.59, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.220
-53.109, 32.744, 52.142, -113.656, -40.971, 30.154, CRUISE, 412.02, -734.02, 1026.58, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.237
-53.109, 32.883, 51.926, -113.280, -40.829, 29.656, CRUISE, 412.02, -734.02, 1031.57, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.254
-53.109, 33.019, 51.709, -112.903, -40.691, 29.159, CRUISE, 412.02, -734.02, 1036.56, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.271
-53.109, 33.152, 51.490, -112.525, -40.555, 28.661, CRUISE, 412.02, -734.02, 1041.55, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.288
-53.109, 33.281, 51.270, -112.147, -40.423, 28.164, CRUISE, 412.02, -734.02, 1046.54, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.305
-53.109, 33.406, 51.048, -111.768, -40.293, 27.667, CRUISE, 412.02, -734.02, 1051.53, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.322
-53.109, 33.528, 50.825, -111.389, -40.166, 27.170, CRUISE, 412.02, -734.02, 1056.52, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.339
-53.109, 33.647, 50.601, -111.009, -40.042, 26.673, CRUISE, 412.02, -734.02, 1061.51, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.356
-53.109, 33.763, 50.376, -110.629, -39.920, 26.177, CRUISE, 412.02, -734.02, 1066.50, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.373
-53.109, 33.875, 50.149, -110.248, -39.802, 25.681, CRUISE, 412.02, -734.02, 1071.49, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.390
-53.109, 33.985, 49.921, -109.867, -39.686, 25.185, CRUISE, 412.02, -734.02, 1076.48, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.407
-53.109, 34.091, 49.691, -109.485, -39.573, 24.690, CRUISE, 412.02, -734.02, 1081.47, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.424
-53.109, 34.194, 49.461, -109.104, -39.463, 24.195, CRUISE, 412.02, -734.02, 1086.46, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.441
-53.109, 34.294, 49.229, -108.722, -39.356, 23.700, CRUISE, 412.02, -734.02, 1091.45, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.458
-53.109, 34.390, 48.995, -108.339, -39.251, 23.206, CRUISE, 412.02, -734.02, 1096.44, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.475
-53.109, 34.484, 48.761, -107.957, -39.148, 22.713, CRUISE, 412.02, -734.02, 1101.43, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.492
-53.109, 34.575, 48.525, -107.574, -39.049, 22.220, CRUISE, 412.02, -734.02, 1106.41, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.508
-53.109, 34.663, 48.288, -107.192, -38.952, 21.727, CRUISE, 412.02, -734.02, 1111.40, 90.15, 0.08, -0.02, 0, 50.0, 30.0, , +0.00, +0.00, Lin 1-2 t=0.525
