# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 200  Weld ON: 200  Weave: 167  Patterns: Circle
# Phases: ACCEL: 35  CRUISE: 146  DECEL: 17  STOP: 2

-126.477, -11.579, 132.274, -94.265, 111.716, -121.440, CRUISE, 378.58, 223.66, 846.68, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.35, -0.56, Curve u=0.265 +Circle
-126.953, -11.708, 132.129, -94.528, 111.334, -121.392, CRUISE, 380.28, 219.66, 846.06, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.42, -0.89, Curve u=0.272 +Circle
-127.400, -11.888, 132.009, -94.803, 110.969, -121.425, CRUISE, 381.83, 215.91, 846.36, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.80, -0.33, Curve u=0.279 +Circle
-127.821, -11.885, 132.059, -95.058, 110.626, -121.443, CRUISE, 384.82, 214.39, 847.03, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.28, +0.58, Curve u=0.287 +Circle
-128.271, -11.665, 132.235, -95.295, 110.268, -121.362, CRUISE, 389.39, 214.47, 847.10, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +0.71, +0.87, Curve u=0.294 +Circle
-128.754, -11.458, 132.335, -95.527, 109.890, -121.209, CRUISE, 393.57, 213.60, 846.22, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.94, +0.18, Curve u=0.301 +Circle
-129.208, -11.517, 132.212, -95.759, 109.532, -121.103, CRUISE, 395.30, 210.03, 845.13, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.73, -0.73, Curve u=0.309 +Circle
-129.609, -11.815, 131.967, -96.004, 109.204, -121.124, CRUISE, 395.22, 204.97, 844.96, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.63, -0.76, Curve u=0.316 +Circle
-130.051, -12.034, 131.855, -96.288, 108.838, -121.197, CRUISE, 396.53, 201.16, 845.79, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.93, +0.20, Curve u=0.324 +Circle
-130.621, -11.951, 131.962, -96.614, 108.378, -121.166, CRUISE, 400.96, 199.48, 846.38, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.28, +0.90, Curve u=0.331 +Circle
-131.235, -11.768, 132.059, -96.929, 107.896, -121.015, CRUISE, 405.78, 197.70, 845.73, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.79, +0.33, Curve u=0.338 +Circle
-131.716, -11.869, 131.901, -97.180, 107.517, -120.905, CRUISE, 407.10, 193.53, 844.60, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.78, -0.73, Curve u=0.346 +Circle
-132.082, -12.258, 131.600, -97.412, 107.213, -120.958, CRUISE, 405.90, 187.96, 844.60, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.97, -0.68, Curve u=0.353 +Circle
-132.578, -12.500, 131.492, -97.728, 106.798, -121.042, CRUISE, 407.31, 183.82, 845.70, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.60, +0.45, Curve u=0.360 +Circle
-133.289, -12.390, 131.604, -98.123, 106.229, -120.961, CRUISE, 412.53, 181.36, 846.08, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.06, +0.84, Curve u=0.368 +Circle
